gene_name	norm_DE
NAPB	3.5928389250507967e-4
MYO5C	3.583308490048887e-4
PACSIN1	3.582773790871687e-4
RD3L	3.572094078593044e-4
LIPN	3.569320566546802e-4
IGLON5	3.5551473011973135e-4
CD3G	3.5453209502261577e-4
ST8SIA1	3.5443357234737227e-4
CYB5R2	3.5443357234737227e-4
PCSK4	3.542247144953853e-4
UTRN	3.542247144953853e-4
SCN1B	3.5287087058163947e-4
NECTIN3	3.528682498826455e-4
RNF213	3.526416865606007e-4
SORBS3	3.523404373279701e-4
NR4A2	3.5022504291619844e-4
ARL9	3.4979888554267946e-4
TRAT1	3.488643350251548e-4
P2RX4	3.474032513974994e-4
CEP85	3.4710486809706617e-4
SORL1	3.467712800409005e-4
TSSC4	3.455451573784639e-4
VASH2	3.45452819042414e-4
ROBO4	3.4506073616625063e-4
PALM2AKAP2	3.435304329543813e-4
SLITRK4	3.426898036312569e-4
DPP10	3.416310983787818e-4
TAFA1	3.4099277515448057e-4
AK5	3.406501733621148e-4
SOX8	3.3939105038768396e-4
FAM53A	3.3860995402920467e-4
WNT8A	3.373702608702362e-4
ZNF727	3.3484279413092076e-4
SIGLEC1	3.3482625519851405e-4
EIF4A3	3.3466960246573215e-4
EMID1	3.3466960246573215e-4
SLC2A10	3.345657926102829e-4
NIP7	3.343770803576649e-4
KLF2	3.3409340721444954e-4
MAPKBP1	3.3308853949374123e-4
CYP7B1	3.317857867284536e-4
CACNB3	3.3127530939139755e-4
PCDHGC4	3.3126166326660875e-4
RFFL	3.3121279617987523e-4
TVP23C	3.311167617278752e-4
LRP2BP	3.307772001811381e-4
ARHGEF39	3.3027328416542753e-4
BANK1	3.300976433452263e-4
SPINK2	3.300890174941816e-4
CERS4	3.2943233648119225e-4
ASPSCR1	3.291434898222015e-4
UBE2QL1	3.287242233497127e-4
H4C14	3.282074787620926e-4
CD24	3.2811895318871515e-4
PCDHGB1	3.26947027762708e-4
STK32B	3.2681885527043275e-4
MMP2	3.2656061875562865e-4
KRT73	3.259133327432028e-4
IZUMO4	3.2560126570467025e-4
LRRC3	3.2560126570467025e-4
PRDX1	3.2508369353625093e-4
LPXN	3.248963694710375e-4
KCNJ12	3.2470896741290835e-4
SH2D4A	3.245159242694437e-4
PPM1J	3.24095582962941e-4
TMEM170B	3.2333692471896706e-4
ILDR2	3.2319774656177323e-4
PTPN22	3.231698455281592e-4
MOB3A	3.2283318120644315e-4
MST1R	3.226525843600425e-4
SMIM41	3.226525843600425e-4
PHLPP2	3.225667165888354e-4
NTN3	3.2220344671930095e-4
OSCP1	3.218136791343141e-4
CTSW	3.201275136011003e-4
HSPA2	3.1953971997671885e-4
DOK4	3.1870791584855937e-4
PPP1R37	3.1855506664008195e-4
SDC2	3.1810489159310473e-4
HSPB1	3.1789018822601397e-4
TRIM47	3.1744296923391977e-4
SLC9A3R2	3.159945357200771e-4
NRM	3.159065386741991e-4
AC012651.1	3.159065386741991e-4
CTSC	3.156281101284212e-4
UMODL1	3.156281101284212e-4
YRDC	3.156043257687025e-4
AGO2	3.1547822478265674e-4
FZD6	3.150801618809955e-4
RUNX3	3.143931904640911e-4
HBEGF	3.141828798347746e-4
CLEC14A	3.1393174687798853e-4
PDE7A	3.117882206328805e-4
CYTH3	3.116743645395354e-4
ZSWIM1	3.116743645395354e-4
SPINK4	3.112336550397197e-4
ATP11C	3.1055436418918613e-4
PCDHGA10	3.105161669487719e-4
DNMT3L	3.098524904263013e-4
FASN	3.098524904263013e-4
B4GALNT4	3.0969047486602313e-4
ADAMTS7	3.075830094818993e-4
IFITM3	3.075830094818993e-4
ZSCAN25	3.075047740750643e-4
TRPM2	3.0726715484212134e-4
LDB2	3.0726715484212134e-4
FAM53B	3.072153447363442e-4
OR10G4	3.0711982951529647e-4
TTC21A	3.069278790826769e-4
ITIH3	3.0662036064732555e-4
WDR49	3.0656370367149167e-4
C1orf174	3.0656370367149167e-4
MOXD1	3.065226169802486e-4
DAGLB	3.065226169802486e-4
CCDC81	3.057556693512581e-4
FRMD8	3.050345322270563e-4
HAVCR1	3.0425600075199843e-4
ATP8B2	3.0402421536409165e-4
ABCC9	3.0371780975715234e-4
TLR10	3.0350510521975015e-4
TADA1	3.026561847551868e-4
HPS4	3.022429362088344e-4
STS	3.020964278648201e-4
PDE1A	3.0130618722114624e-4
DAB1	3.0100132864100017e-4
KLRG2	3.0100132864100017e-4
JAG2	3.0070630978052185e-4
CFAP251	3.0049185777924835e-4
AP3S2	2.9969030400241615e-4
PTGER3	2.994966696105036e-4
ANP32B	2.9922969068475925e-4
PCDHGA12	2.9916291125645095e-4
C9orf43	2.9914164891352453e-4
RANBP3L	2.9904377246743537e-4
MARCO	2.9834539080601265e-4
ADGRF3	2.9784944843082696e-4
VIPR2	2.978218663369738e-4
BDNF	2.9745333901576065e-4
SLC38A6	2.9693146669872655e-4
HS3ST3B1	2.9676585208881313e-4
FGF6	2.961585413013226e-4
SOX13	2.9613273316512063e-4
VWA5B2	2.958509527551682e-4
