"","norm_DE"
"LOXL2",0.000397280436451363
"ATP9A",0.000396822553481138
"PCDHGA4",0.000396822553481138
"POU4F1",0.000396190573156536
"SCHIP1",0.00039568604788873
"GPC4",0.00039343043928887
"H3C1",0.00039343043928887
"LMF1",0.000392406760410477
"C9orf152",0.000391639141892103
"TTC28",0.000391052387038295
"TLE1",0.000390735515964533
"PIR",0.000390586610461621
"SLC4A4",0.000389867644542681
"FSTL1",0.000388991455043192
"SYT1",0.000388513952907535
"MYBPC2",0.000388513952907535
"ID3",0.000388513952907535
"KIF26A",0.000386425203660942
"GAD1",0.000385205786005238
"AMZ1",0.000384163993569228
"TSPAN9",0.000384070209831552
"FAH",0.000384070209831552
"SIK1",0.000384070209831552
"FADS3",0.000383117638173817
"TSPAN14",0.000383034542583483
"ENPP4",0.000382754733278412
"SPRED1",0.000382662686555545
"PNPLA7",0.000382310121382052
"CFH",0.000381733700278399
"OR5P3",0.000380955835468481
"PTGR1",0.000380757622078416
"GNA11",0.000379049398052235
"ADAMTS1",0.000377134595601674
"RORB",0.000376889997880785
"OR5P2",0.000376552345112551
"SULT1E1",0.000376436827278493
"GNAQ",0.000374807277012018
"PCDHGC5",0.000373747957541359
"OR10S1",0.000373700956518511
"NCKAP5",0.000373034033423627
"PHLDA1",0.000372983999255338
"DEF8",0.000371563824244059
"MAGI1",0.000371407931660686
"TAMALIN",0.000370674868999942
"TMED6",0.000370592462894414
"IL7",0.000370349005808369
"ID2",0.000369397702467507
"ITGA6",0.000368211988838535
"FRMD6",0.000367469320444277
"LHFPL2",0.000367469320444277
"TBC1D30",0.00036746342007599
"CDH6",0.00036746342007599
"VPREB1",0.00036746342007599
"NEURL1B",0.00036746342007599
"ATP6V0A4",0.000366894699466493
"ACKR2",0.000366530978824966
"TAF13",0.000365104989684566
"EFCC1",0.000364931408421473
"TRPM5",0.000362829609580017
"CCDC151",0.000362824955712407
"GRAMD2B",0.000362027549720494
"SPIB",0.000361062707136929
"ARL4C",0.000360761535070453
"TUNAR",0.000360323621677204
"MSMB",0.000360271875843289
"CCDC57",0.00035961512788153
"NAPB",0.00035928389250508
"MYO5C",0.000358330849004889
"PACSIN1",0.000358277379087169
"RD3L",0.000357209407859304
"LIPN",0.00035693205665468
"IGLON5",0.000355514730119731
"CD3G",0.000354532095022616
"ST8SIA1",0.000354433572347372
"CYB5R2",0.000354433572347372
"PCSK4",0.000354224714495385
"UTRN",0.000354224714495385
"SCN1B",0.000352870870581639
"NECTIN3",0.000352868249882645
"RNF213",0.000352641686560601
"SORBS3",0.00035234043732797
"NR4A2",0.000350225042916198
"ARL9",0.000349798885542679
"TRAT1",0.000348864335025155
"P2RX4",0.000347403251397499
"CEP85",0.000347104868097066
"SORL1",0.000346771280040901
"TSSC4",0.000345545157378464
"VASH2",0.000345452819042414
